date,open,high,low,close,volume
02/07/2014,75.26,75.9,75.25,75.62,4366772
03/07/2014,75.61,76.05,75.52,75.75,2873959
07/07/2014,75.69,76.21,75.55,76.07,5027994
08/07/2014,76.09,76.98,76.03,76.65,7960476
09/07/2014,76.77,77.33,76.62,77.21,6240126
10/07/2014,76.91,77.569,76.91,77.06,5372478
11/07/2014,76.87,76.97,76.56,76.82,4547543
14/07/2014,77.13,77.25,76.48,76.55,4822869
15/07/2014,76.56,76.93,76.56,76.84,4686766
16/07/2014,76.9,77.05,76.7,76.86,3743501
17/07/2014,76.58,77.05,76.44,76.61,4630252
18/07/2014,76.62,77.1,76.51,77.09,4913346
21/07/2014,76.76,76.91,76.48,76.77,3457586
22/07/2014,76.84,76.89,76.4,76.64,4383167
23/07/2014,76.63,77.06,76.59,76.99,3994349
24/07/2014,76.68,76.79,76.19,76.35,7228303
25/07/2014,76.19,76.36,75.8,75.97,3948442
28/07/2014,75.43,75.93,75.36,75.71,5509938
29/07/2014,75.21,76.01,75.15,75.44,6293487
30/07/2014,75.88,75.92,74.67,74.78,9985703
31/07/2014,73.99,74.25,73.54,73.58,9632692
01/08/2014,73.38,73.625,73.06,73.54,5402081
04/08/2014,73.38,73.625,73.06,73.54,5402181
05/08/2014,73.31,73.52,72.77,73.34,10580561
06/08/2014,73.19,74.29,73.18,74.2,7934785
07/08/2014,74.34,74.81,73.76,73.95,7053149
08/08/2014,74.06,74.73,73.85,74.67,4996347
11/08/2014,74.29,74.6,74.02,74.36,4721351
12/08/2014,74.31,74.44,74.01,74.22,3928584
13/08/2014,74.27,74.41,73.51,74.03,6579857
14/08/2014,73.89,74.43,73.61,74.39,6136444
15/08/2014,74.65,74.65,73.485,73.9,6942723
18/08/2014,74.15,74.68,74.05,74.49,4015717
19/08/2014,74.81,74.94,74.14,74.88,5047957
20/08/2014,74.83,75.05,74.51,74.96,4898266
21/08/2014,75.06,75.91,75,75.55,5260626
22/08/2014,75.78,76.2,75.64,75.73,4137761
25/08/2014,75.93,76.02,75.5063,75.69,3393630
26/08/2014,75.83,76.15,75.44,75.52,4222880
27/08/2014,75.51,75.86,75.44,75.85,3200426
28/08/2014,75.47,75.94,75.47,75.9,2928089
29/08/2014,75.75,75.88,75.29,75.5,5080513
02/09/2014,75.42,75.94,75.41,75.75,4532422
03/09/2014,75.95,76.33,75.88,76.01,4709373
04/09/2014,76.16,76.6,76.11,76.56,5282252
05/09/2014,76.52,77.73,76.48,77.51,7841819
08/09/2014,77.13,77.32,76.43,76.53,5946869
09/09/2014,76.56,77,76.17,76.74,5631979
10/09/2014,76.79,77.08,76.37,76.51,6697057
11/09/2014,76.35,76.44,76.09,76.1,4985299
12/09/2014,75.97,76.05,75.66,75.77,5693775
15/09/2014,75.78,75.89,75.61,75.81,3748478
16/09/2014,75.64,76.57,75.6,76.32,4109537
17/09/2014,76.36,76.47,76.01,76.24,4239265
18/09/2014,76.31,76.58,75.91,76.22,4751711
19/09/2014,76.45,77.07,76.38,76.84,13323532
22/09/2014,76.79,76.86,76.25,76.31,4450704
23/09/2014,76,76.225,75.57,75.6,6717115
24/09/2014,75.73,77.31,75.7,77.08,8434589
25/09/2014,76.93,77.05,76.12,76.12,4963485
26/09/2014,76.25,76.57,75.86,76.49,3752888
29/09/2014,76.06,76.25,75.65,76.08,4959285
30/09/2014,76.04,76.72,75.77,76.47,5640744
01/10/2014,76.51,76.86,75.91,76.12,6524863
02/10/2014,76.21,76.91,75.96,76.23,4929134
03/10/2014,76.57,77.48,76.53,77.32,5819678
06/10/2014,77.05,77.92,76.99,77.35,5429677
07/10/2014,77.03,77.695,76.72,77.3,7059857
08/10/2014,77.41,78.485,76.81,78.24,8107097
09/10/2014,78.11,78.83,77.66,77.86,7072744
10/10/2014,77.93,79.37,77.93,78.29,10078027
13/10/2014,78.03,78.585,77.45,77.56,8201401
14/10/2014,77.83,78.63,77.67,77.98,7901051
15/10/2014,77.58,77.69,74.36,75.2,21057683
16/10/2014,73.23,74.0694,72.61,73.82,14346643
17/10/2014,74.18,74.5,73.03,74.1,11472069
20/10/2014,74.14,75.22,73.92,75.14,7040685
21/10/2014,75.18,76.2,75.01,76.02,8299743
22/10/2014,76.47,76.66,76.01,76.03,5927620
23/10/2014,76.37,76.65,75.78,76.25,6367092
24/10/2014,76.13,76.5,75.5,76.38,4483654
27/10/2014,76.33,76.98,76.31,76.59,4107391
28/10/2014,76.63,76.8,76,76.35,4979984
29/10/2014,76.55,76.64,75.97,76.39,5763263
30/10/2014,76.17,76.6,75.98,76.45,4872414
31/10/2014,76.89,77.4,76.01,76.27,7570734
03/11/2014,76.35,76.38,75.59,76.28,6887875
04/11/2014,76.49,77.37,76.28,77.26,6904853
05/11/2014,77.87,78.23,77.3,77.7,5673772
06/11/2014,78.15,78.18,77.17,77.81,4621864
07/11/2014,77.84,79.08,77.61,78.77,9498782
10/11/2014,78.6,80.13,78.42,79.44,12640479
11/11/2014,79.4,79.42,78.85,79.01,5602406
12/11/2014,78.83,79.44,78.65,79.2,6791218
13/11/2014,80.96,83.06,80.86,82.94,22812356
14/11/2014,82.58,83.15,82.1,82.96,10636644
17/11/2014,82.58,83.72,82.53,83.57,7993427
18/11/2014,83.5,83.92,83.34,83.79,6096432
19/11/2014,83.96,85.64,83.92,84.99,12189846
20/11/2014,84.81,85.29,84.04,84.58,7812733
21/11/2014,85.34,85.44,84.58,84.65,6649630
24/11/2014,84.85,85.61,84.77,85.4,7995454
25/11/2014,85.5,85.51,84.39,84.95,6675451
26/11/2014,84.9,85.111,84.48,84.98,3943821
28/11/2014,86.18,88.09,85.9,87.54,7820627
01/12/2014,86.72,87.07,85.7499,86.22,9140937
02/12/2014,86.27,86.7,85.93,86.4,6766310
03/12/2014,85.95,86,84.68,84.94,6374338
04/12/2014,84.13,84.82,83.65,84.76,6922353
05/12/2014,84.81,84.82,83.51,84.12,6570121
08/12/2014,84.15,84.67,83.85,84.23,6265990
09/12/2014,83.65,84.21,82.65,83.56,6633610
10/12/2014,83.93,84.31,82.9,82.98,6973600
11/12/2014,83.2,84.495,83.16,83.83,8032841
12/12/2014,83.52,85,83.52,83.81,7284128
15/12/2014,84.26,84.7,83.05,83.94,6317736
16/12/2014,83.62,84.76,82.94,82.96,7437440
17/12/2014,83.28,84.26,82.95,84.23,6641024
18/12/2014,84.8,85.95,84.28,85.94,8645929
19/12/2014,86.26,86.34,85.16,85.16,12068826
22/12/2014,85.32,86.4,85.29,86.38,4575752
23/12/2014,86.69,87.08,86.36,86.66,5552646
24/12/2014,86.97,87.065,86.39,86.43,2491789
26/12/2014,86.18,87.14,86.01,86.91,3249266
29/12/2014,86.46,87.07,86.4,86.64,3605617
30/12/2014,86.52,87.13,86.48,86.79,3265377
31/12/2014,87.08,87.44,85.86,85.88,4151386
02/01/2015,86.27,86.72,85.545,85.9,4501838
05/01/2015,85.72,86.32,85.51,85.65,6978986
06/01/2015,85.98,86.75,85.79,86.31,8205145
07/01/2015,86.78,88.68,86.67,88.6,8498428
08/01/2015,89.21,90.665,89.07,90.47,12713559
09/01/2015,90.32,90.39,89.25,89.35,8522505
12/01/2015,89.36,90.31,89.22,90.02,7372534
13/01/2015,90.8,90.97,88.93,89.31,8215406
14/01/2015,87.65,88.52,86.5,86.61,11954333
15/01/2015,87,87.78,86.7,87.38,9412733
16/01/2015,87.2,87.46,86.23,86.77,8408926
20/01/2015,86.82,87.7,85.552,86.69,7853065
21/01/2015,86.1,86.91,85.71,86.64,8174202
22/01/2015,87.23,88.395,86.86,88.3,7123834
23/01/2015,88.42,89.26,87.89,88.51,7565786
26/01/2015,88.31,89.16,88.12,88.63,4666660
27/01/2015,88.28,88.46,87.26,87.53,6020450
28/01/2015,88.02,88.23,86.77,86.82,5936775
29/01/2015,87.07,87.72,86.27,87.72,6522794
30/01/2015,86.78,87.36,84.9,84.98,10280220
02/02/2015,84.79,85.87,83.93,85.71,6927168
03/02/2015,85.83,86.525,85.66,86.19,8283477
04/02/2015,86.11,87.035,86,86.65,8932258
05/02/2015,87.11,87.36,86.56,87.28,5090777
06/02/2015,87.26,88,86.78,87.33,5617641
09/02/2015,86.97,87.19,85.64,85.91,5456247
10/02/2015,86.62,87.41,86.42,87.29,5732061
11/02/2015,86.63,87.12,85.92,86.34,5853068
12/02/2015,86.56,86.68,85.23,85.89,6941569
13/02/2015,85.84,86.16,85.32,85.81,5597012
17/02/2015,85.43,85.97,84.97,85.96,5087189
18/02/2015,85.98,86.3,85.52,86.29,6032699
19/02/2015,84.5,84.8,83.39,83.52,18646754
20/02/2015,82.73,84.38,82.55,84.3,13840389
